icsd_id,formula,Final_label,group name,color,x,y
24530,Cu6 P2 S8,0,Diamond like,#1f77b4,8.821342,49.567215
152790,Cd4 Ga2 Cu0.4 Ag1.6 S8,0,Diamond like,#1f77b4,9.257977,58.19419
627740,Mn0.2 Zn1.8 Cu4 Ge2 S8,0,Diamond like,#1f77b4,8.247198,46.60408
415452,Mn2 Cu4 Si2 S8,0,Diamond like,#1f77b4,3.7605999,42.896145
619770,Cd2 Cu4 Si2 S8,0,Diamond like,#1f77b4,9.752222,46.614704
16924,Cd2 Cu4 Si2 S8,0,Diamond like,#1f77b4,7.960712,55.213497
628635,Cu6 P2 S8,0,Diamond like,#1f77b4,8.79461,49.49055
14303,Cu4 Sb4 Pb4 S12,1,All other groups,#BCBD22,35.35687,-2.090392
193986,Mn2 Cu4 Si2 S8,0,Diamond like,#1f77b4,3.767951,42.91907
628869,Zn2 Cu4 Si2 S8,0,Diamond like,#1f77b4,7.5439863,50.655025
627355,Fe2 Cu4 Si2 S8,0,Diamond like,#1f77b4,0.8023864,43.62936
628856,Cu16 Si2 S12,2,All other groups,#BCBD22,13.154764,11.795797
23606,Cu4 Pb10 C2 S6 O42,-1,No group,#17becf,41.019516,-29.478388
627735,Mn2 Cu4 Ge2 S8,0,Diamond like,#1f77b4,3.4357011,42.453712
627793,Zn2 Cu4 Ge2 S8,0,Diamond like,#1f77b4,6.0028276,51.12318
627787,Zn2 Cu4 Ge2 Se4 S4,0,Diamond like,#1f77b4,-4.0590305,59.926903
413350,Cu6 As2 S8,0,Diamond like,#1f77b4,8.126663,49.18631
36478,Cu4 As4 Pb4 S12,1,All other groups,#BCBD22,35.758472,-2.6598487
195307,Cu4 Ag2 P2 S8,0,Diamond like,#1f77b4,9.934788,46.682785
24374,Cu16 Si2 S12,2,All other groups,#BCBD22,13.117161,11.740402
152762,Cu4 Hg2 Ge2 S8,0,Diamond like,#1f77b4,8.849182,45.828793
188032,Cu6 P2 Se6.578 S1.422,0,Diamond like,#1f77b4,11.666744,49.354866
427893,Zn2 Cu4 Si1.58 Sn0.42 S8,0,Diamond like,#1f77b4,7.251735,50.78858
5109,Cu4 Bi4 Te0.156 Pb4 Se4.764 S7.08,1,All other groups,#BCBD22,35.21899,-1.6623172
182267,Cu4 Sb4 Pb4 S12,1,All other groups,#BCBD22,35.34849,-2.0401244
627928,Cu4 Si2 Hg2 S8,0,Diamond like,#1f77b4,6.8547974,49.556396
26150,Cd2 Cu4 Ge2 S8,0,Diamond like,#1f77b4,8.458,46.512337
425554,Mg2 Cu4 Si2 S8,0,Diamond like,#1f77b4,4.1294346,44.89664
656979,Cu3 Ag3 P2 S8,0,Diamond like,#1f77b4,9.157932,48.97056
627311,Zn1.6 Fe0.4 Cu4 Ge2 S8,0,Diamond like,#1f77b4,5.8278136,51.097458
193988,Mn2 Cu4 Ge2 S8,0,Diamond like,#1f77b4,3.370643,42.405884
416029,Mn2 Cu4 Sn0.894 Ge1.106 S8,0,Diamond like,#1f77b4,1.9306812,42.670647
36477,Cu4 Sb4 Pb4 S12,1,All other groups,#BCBD22,36.222378,-1.9516302
280133,Cu16 Ge2 S12,2,All other groups,#BCBD22,13.129733,11.753371
2622,Cu4 Pb10 C2 S6 O42,-1,No group,#17becf,41.052998,-29.345469
415926,Mn1.36 Co0.64 Cu4 Ge2 S8,0,Diamond like,#1f77b4,2.2661011,42.956707
188031,Cu6 P2 Se4.208 S3.792,0,Diamond like,#1f77b4,11.588003,49.337753
603951,Cu6 P2 Se4 S4,0,Diamond like,#1f77b4,11.540957,49.349075
425555,Mg2 Cu4 Ge2 S8,0,Diamond like,#1f77b4,4.091064,45.241783
42672,Cu6 Sb2 S8,0,Diamond like,#1f77b4,4.704436,47.01205
164674,Cu4 H12 Pb10 C2 S6 O42,-1,No group,#17becf,15.811205,-33.01471
5097,Zn0.48 In0.1 Fe1.92 Cu3.68 Ag0.04 Sn1.78 S8,0,Diamond like,#1f77b4,5.8927107,47.243984
185597,Zn2 Cu4 Sn2 S8,0,Diamond like,#1f77b4,7.146218,46.953506
95925,Cu1.96 Bi6 Pb2 S12,3,All other groups,#BCBD22,44.906097,2.2259703
41970,Cu2 Bi6 Pb2 S12,3,All other groups,#BCBD22,43.80188,2.4609997
160417,Cu2 Bi6 Pb2 S12,3,All other groups,#BCBD22,44.879116,2.249244
95927,Cu2.24 Bi5.64 Pb2.36 S12,3,All other groups,#BCBD22,46.50375,2.6875482
30776,Cu2 Bi6 Pb2 S12,3,All other groups,#BCBD22,44.034397,1.6940936
89857,Cu5.74 Bi26 Pb6 S48,3,All other groups,#BCBD22,45.513992,2.01784
66582,Cu4 Ag4 S4,4,All other groups,#BCBD22,13.959742,20.631805
8757,Cu6 Ag4 Bi14 Pb6 S32,5,All other groups,#BCBD22,44.26424,6.212394
65082,Fe2 Cu8 Bi2 Pb2 S12,3,All other groups,#BCBD22,22.594007,4.8449287
60151,Cu1.4 Bi22.6 Pb1.4 Se6.12 S29.88,3,All other groups,#BCBD22,46.208202,0.6230649
94739,Cu10.72 Bi21.28 Pb10.72 S48,3,All other groups,#BCBD22,44.76118,2.910615
258759,Fe5.4 Cu16.6 Sn3.88 S24,6,Colusite-like,#ff7f0e,3.991843,3.544217
258758,Fe6 Cu16 Sn3.88 S24,6,Colusite-like,#ff7f0e,3.983371,3.490654
41894,Zn1.7 Fe4.3 Cu16 Sn4 S24,6,Colusite-like,#ff7f0e,3.7279103,2.828626
604806,Ba2 Cu1 Ag3 Sn2 S8,7,All other groups,#BCBD22,-1.7435995,-2.4644742
259855,Zn2 In0.12 Fe3.88 Cu16 Ge4 S24,6,Colusite-like,#ff7f0e,5.360205,3.8347769
198647,Cu2 Ni1 Ge1 S4,0,Diamond like,#1f77b4,-0.4294806,47.47245
426584,Cu4 H40 C8 S16 N12 O4,-1,No group,#17becf,0.35785893,-53.4496
627166,Dy4 Cu4 S8,8,All other groups,#BCBD22,-23.298077,-14.58313
628968,Yb4 Cu4 S8,8,All other groups,#BCBD22,-24.950365,-12.696724
23645,Cu12 Bi4 S12,9,All other groups,#BCBD22,24.088655,7.7809696
628553,Cu4 Ni4 Sb4 S12,10,All other groups,#BCBD22,23.910673,0.6694349
180450,Cu4 Bi4 Pt4 S12,10,All other groups,#BCBD22,23.774134,0.17831038
628305,Lu4 Cu4 S8,8,All other groups,#BCBD22,-24.490921,-12.071293
627235,Er4 Cu4 S8,8,All other groups,#BCBD22,-23.587969,-12.743258
2052,Cu12 Bi8 S16 Cl4,-1,No group,#17becf,37.506733,6.007651
627965,Ho4 Cu4 S8,8,All other groups,#BCBD22,-23.804213,-14.288483
81713,Cs4 Cu4 Se8 S8,-1,No group,#17becf,9.2654,-14.229068
16352,Cu4 S16 N4,-1,No group,#17becf,34.414856,-8.713228
628960,Y4 Cu4 S8,8,All other groups,#BCBD22,-25.482367,-12.46421
403113,Cu12 Sb4 S12,9,All other groups,#BCBD22,24.01698,7.805175
152806,Tm3.872 Cu4.396 S8,-1,No group,#17becf,-23.249134,-11.113452
426583,Cu4 H8 C4 S8 N4,-1,No group,#17becf,5.590667,-42.767944
402075,Cs4 Cu4 S16,-1,No group,#17becf,8.292847,-12.759211
628936,Tm4 Cu4 S8,8,All other groups,#BCBD22,-23.781815,-12.419189
1919,Cu12 Bi8 S16 Br4,-1,No group,#17becf,37.47118,6.045586
243543,K8 Cu8 S12 O48,-1,No group,#17becf,22.307358,-30.805172
7767,Cu4 Bi4 Pd4 S12,10,All other groups,#BCBD22,23.81713,0.34515345
68678,Cu4 Ni4 Bi3.6 Sb0.4 S12,10,All other groups,#BCBD22,23.87822,0.58257216
88007,Na16 Nb4 Cu8 S42,-1,No group,#17becf,0.44319022,-23.387604
267371,K4 Nd8 Cu4 S24,11,All other groups,#BCBD22,-4.0220466,-26.921638
267372,K4 Pr8 Cu4 S24,11,All other groups,#BCBD22,-4.0619736,-26.876354
657395,K12 Ta8 Cu12 S32,12,All other groups,#BCBD22,-3.0917866,-15.990288
430091,Rb4 Cu4 Sb8 S16,-1,No group,#17becf,11.352253,-12.229679
628074,Tl15.68 In16 Cu0.32 S32,-1,No group,#17becf,24.011787,3.3336432
262273,Na4 Cu4 S4 O16 F4,14,All other groups,#BCBD22,18.996044,-32.87579
83969,Ba8 V4 Cu12 S24,-1,No group,#17becf,-24.499525,-10.832161
239841,Cu6.32 Ag17.68 As8 S24,-1,No group,#17becf,23.82015,7.163232
174608,Cu4 Hg4 C16 S16 N16,13,All other groups,#BCBD22,32.127434,-20.58368
67697,K12 Nb8 Cu12 S32,12,All other groups,#BCBD22,-3.092627,-15.966198
252342,Li8 Cu8 S8 O32 F8,14,All other groups,#BCBD22,19.04601,-32.879482
74021,Rb16 Cu16 Sn16 S48,-1,No group,#17becf,7.4051156,-12.763472
430092,Cs4 Cu4 Sb8 S16,-1,No group,#17becf,11.346389,-12.258225
61417,U24 Cu8 S52,-1,No group,#17becf,-19.210192,-32.826725
267370,K4 La8 Cu4 S24,11,All other groups,#BCBD22,-4.1082177,-26.816584
32638,Cr4 Cu4 P8 S24,-1,No group,#17becf,25.803059,-13.9454565
195342,Sc4 Cu4 P8 S24,-1,No group,#17becf,25.285006,-12.571223
417841,K12 Ta4.072 Nb3.928 Cu12 S32,12,All other groups,#BCBD22,-3.0938244,-15.98187
151073,Cu4 C36 S8 N4 F40,-1,No group,#17becf,15.789585,-31.166567
94629,K4 Ca4 Cu2 S8 O36,-1,No group,#17becf,26.005096,-33.70129
412900,La8 Cu4 S16,-1,No group,#17becf,-6.85858,-27.470488
171302,K4 Cu2 H24 Se2.9848 S1.016 O28.0,15,All other groups,#BCBD22,4.984798,-61.749683
97703,Cu16 S4 O40,14,All other groups,#BCBD22,37.54057,-27.722588
55329,Zn1.224 Fe1.4112 Cu1.364 S4 O44,14,All other groups,#BCBD22,38.88409,-37.16691
171288,K4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,4.6412416,-55.504967
253304,Na4 Cu2 Se1 S3 O20,14,All other groups,#BCBD22,22.175142,-34.884842
171303,K4 Cu2 H24 Se3.0104 S0.988 O28,15,All other groups,#BCBD22,4.5944343,-61.863506
620903,Ce4 Cu4 S8,17,All other groups,#BCBD22,-10.750003,-32.40006
428613,Cu8 Bi4 Te4 S4 O40,-1,No group,#17becf,39.392452,-29.791191
627631,Gd4 Cu4 S8,17,All other groups,#BCBD22,-12.126255,-30.485888
8424,Zn11.844 As0.68 P3.44 S1.88 O43.92,-1,No group,#17becf,34.939625,-29.672138
253298,Na4 Cu2 Se0.2 S3.8 O20,14,All other groups,#BCBD22,21.558327,-34.911503
415080,Sm4 Cu4 S8,17,All other groups,#BCBD22,-11.686021,-30.972807
415078,La4 Cu4 S8,17,All other groups,#BCBD22,-10.549242,-32.559288
171317,K4 Cu2 H24 Se0.856 S3.1456 O28,15,All other groups,#BCBD22,3.8148317,-61.4937
189268,K1.648 Cu2 H24 S4 N2.352 O28,-1,No group,#17becf,5.5301666,-52.63194
171315,K4 Cu2 H24 Se0.864 S3.1348 O28.0,15,All other groups,#BCBD22,3.1782289,-60.95632
172626,Mg2.22 Cu1.78 S4 O44,14,All other groups,#BCBD22,37.620216,-38.115223
628720,Pr4 Cu4 S8,17,All other groups,#BCBD22,-11.046778,-32.0762
422593,Na4 Cu2 H8 S4 O20,18,All other groups,#BCBD22,9.001381,-41.8861
59288,Cu16 H24 S4 O40,-1,No group,#17becf,8.171433,-39.687225
171311,K4 Cu2 H24 Se1.256 S2.7424 O28,15,All other groups,#BCBD22,3.3161592,-62.879192
171286,K4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,4.6689277,-55.76849
171304,K4 Cu2 H24 Se2.9824 S1.016 O28.0,15,All other groups,#BCBD22,4.7317753,-61.200317
24107,Cu6 S4 O16,14,All other groups,#BCBD22,34.351772,-32.202984
171291,K4 Cu2 H24 Se3.3036 S0.696 O28,15,All other groups,#BCBD22,6.288564,-61.28652
79659,Cu24 Sb8 S24,82,All other groups,#BCBD22,25.030256,10.191437
93232,Hf4 Cu8.0 S12,-1,No group,#17becf,-15.227018,1.6234316
262252,Cu4 As28 P4 S28 Br4,19,All other groups,#BCBD22,36.02069,-7.492533
404469,Cu4 Te4.24 S3.76 Cl4,-1,No group,#17becf,32.24309,-4.5989943
14358,Cu2 H40 S4 N4 O28,20,All other groups,#BCBD22,-3.4425464,-55.150936
432661,Cu32 Sn8 S32,21,All other groups,#BCBD22,8.43581,4.7989545
415490,Tb4 Cu4 S8,17,All other groups,#BCBD22,-12.215219,-30.380106
55324,Zn1.0492 Fe2.6068 Cu0.344 S4 O44,14,All other groups,#BCBD22,39.013123,-38.21349
97704,Cu16 S4 O40,14,All other groups,#BCBD22,37.58966,-27.723377
408530,Cu4 H24 C12 S4 Br12 N12,-1,No group,#17becf,4.761254,-47.247208
171299,K4 Cu2 H24 Se2.9752 S1.024 O28,15,All other groups,#BCBD22,4.8356776,-62.942116
85627,Cs8 Cu8 P8 S24,-1,No group,#17becf,8.1983795,-12.790549
428911,Eu4 Cu2 H8 S4 O24,22,All other groups,#BCBD22,12.383769,-39.183903
280384,Cu2 H40 S4 N4 O28,20,All other groups,#BCBD22,-2.9641204,-55.305634
62992,Cu2 H40 S4 N4 O28,20,All other groups,#BCBD22,-3.2269511,-55.747406
171306,K4 Cu2 H24 Se3.0032 S0.996 O28,15,All other groups,#BCBD22,5.373847,-62.477673
55325,Fe2.44 Cu1.56 S4 O44,14,All other groups,#BCBD22,38.333324,-37.276855
264534,Mg2 Cu2 S4 O16,14,All other groups,#BCBD22,34.79391,-33.63054
63071,Cu4 H28 C12 S4 N12 O16,-1,No group,#17becf,4.382142,-47.90355
171296,K4 Cu2 H24 Se3.3216 S0.68 O28.0,15,All other groups,#BCBD22,5.9419875,-61.927193
73451,Cu2 S4 N4 O28,14,All other groups,#BCBD22,39.231163,-35.986687
85626,K8 Cu4 P12 S36,-1,No group,#17becf,20.251648,-30.303991
628237,La4 Cu4 S8,-1,No group,#17becf,-10.074959,-33.30316
15177,Fe4 Cu2 S8 O44,14,All other groups,#BCBD22,36.839222,-35.22461
81678,Na8 Cu4 Sb4 S12,-1,No group,#17becf,0.8407029,-24.391422
85628,K12 Cu4 P8 S28,-1,No group,#17becf,14.521324,-30.838932
428910,Sm4 Cu2 H8 S4 O24,22,All other groups,#BCBD22,12.371863,-39.18907
171310,K4 Cu2 H24 Se1.28 S2.7184 O28,15,All other groups,#BCBD22,3.7875113,-62.69269
15220,Cu8 C12 S12 N24,13,All other groups,#BCBD22,31.954727,-21.68616
171321,K4 Cu2 H24 Se0.892 S3.1088 O28,15,All other groups,#BCBD22,3.776899,-61.156235
55327,Zn0.866 Fe2.234 Cu0.9 S4 O44,14,All other groups,#BCBD22,38.917812,-37.690224
628521,Nd4 Cu4 S8,17,All other groups,#BCBD22,-11.504339,-31.940023
433749,Al4 Cu4 Ge16 S40,-1,No group,#17becf,37.025497,-7.564944
201523,Cu2 H40 S4 N4 O28,20,All other groups,#BCBD22,-2.3326232,-55.249153
171293,K4 Cu2 H24 Se3.3464 S0.652 O28,15,All other groups,#BCBD22,6.2175255,-62.51533
55322,Zn0.0996 Fe3.0704 Cu0.83 S4 O44,14,All other groups,#BCBD22,38.532307,-38.07692
253300,Na4 Cu2 Se0.4 S3.6 O20,14,All other groups,#BCBD22,21.843712,-35.187992
248950,Cu8 P4 C8 S4 O52,-1,No group,#17becf,35.35993,-28.790913
188028,Cu8 Te4 Pb3.992 S2 O34,-1,No group,#17becf,39.575417,-28.366495
18177,Cu2 S4 N4 O28,14,All other groups,#BCBD22,39.053932,-35.777813
2918,Tl4 Cu2 H24 S4 O28,-1,No group,#17becf,6.1701856,-51.274414
171301,K4 Cu2 H24 Se2.986 S1.016 O28.0,15,All other groups,#BCBD22,5.4206247,-61.739735
36236,Na4 Cu2 S4 O20,14,All other groups,#BCBD22,20.6545,-34.66322
88012,La4 Cu4 Te4 S4,-1,No group,#17becf,-9.692668,-32.780334
76003,Na4 Cu2 S4 O20,14,All other groups,#BCBD22,20.280024,-35.39685
171309,K4 Cu2 H24 Se1.26 S2.7408 O28.0,15,All other groups,#BCBD22,3.240015,-61.99902
171312,K4 Cu2 H24 Se1.268 S2.7328 O28,15,All other groups,#BCBD22,2.7001839,-62.559597
201524,Cu2 H40 S4 N4 O28,20,All other groups,#BCBD22,-2.5554416,-55.33419
171319,K4 Cu2 H24 Se0.844 S3.156 O28,15,All other groups,#BCBD22,4.160485,-59.44969
55328,Zn1.6632 Fe1.93 Cu0.406 S4 O44,14,All other groups,#BCBD22,39.34112,-37.76285
200402,Zn5.2 Cu4.8 H36 S4 O40,-1,No group,#17becf,5.6722217,-50.967873
260597,Cu4 H32 S12 O40,-1,No group,#17becf,5.5437517,-48.288227
50666,Cu32 Ge8 S32,21,All other groups,#BCBD22,8.48805,4.814545
201625,Zn2 Cu4 H8 S4 O16,-1,No group,#17becf,10.579114,-37.022446
259686,Mg0.5 Zn0.86 Cu2.62 S4 O16,14,All other groups,#BCBD22,35.518085,-32.885735
248949,Na4 Cu4 P4 H32 C8 S4 O32,-1,No group,#17becf,4.077484,-51.35144
15434,Na4 Cu2 S4 O20,14,All other groups,#BCBD22,21.039957,-35.574837
415079,Nd4 Cu4 S8,17,All other groups,#BCBD22,-11.329547,-31.76996
110613,Cu4 W4 C32 S12 N8 Cl4 O4,-1,No group,#17becf,29.635904,-23.202816
171305,K4 Cu2 H24 Se3.0036 S0.996 O28,15,All other groups,#BCBD22,5.692063,-59.70308
171298,K4 Cu2 H24 Se3.36 S0.64 O28,15,All other groups,#BCBD22,5.623448,-60.971546
74060,Cu2 H40 S4 N4 O28,20,All other groups,#BCBD22,-2.787164,-56.137486
253302,Na4 Cu2 Se0.6 S3.4 O20,14,All other groups,#BCBD22,22.097593,-34.928516
62991,Cu2 H40 S4 N4 O28,20,All other groups,#BCBD22,-2.6481216,-56.036507
171318,K4 Cu2 H24 Se0.84 S3.1592 O28,15,All other groups,#BCBD22,2.8464327,-61.65443
171285,K4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,4.280151,-55.577953
55321,Fe3.6 Cu0.4 S4 O44,14,All other groups,#BCBD22,38.75952,-38.552868
404468,Cu4 Te4.308 S3.692 Br4,-1,No group,#17becf,32.232685,-4.616471
33515,Cu4 S16 Br4 N16,-1,No group,#17becf,35.26805,-10.381581
2924,Rb4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,5.4678717,-55.333008
415483,K8 Cu4 Sb4 S12,-1,No group,#17becf,0.82660806,-24.494001
171292,K4 Cu2 H24 Se3.3268 S0.672 O28,15,All other groups,#BCBD22,5.7849154,-61.14198
281184,Cu4 H4 C4 S4 O20,-1,No group,#17becf,16.509415,-31.009079
10065,Cu2 S4 N8 O12,14,All other groups,#BCBD22,40.1515,-34.853695
81460,Cu2 S4 N4 O28,14,All other groups,#BCBD22,39.212505,-35.8581
81463,K4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,5.2494416,-55.247345
253297,Na4 Cu2 S4 O20,14,All other groups,#BCBD22,21.522919,-34.90656
249345,Cs4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,5.390463,-56.286095
74901,Cu24 Sb8 S24,9,All other groups,#BCBD22,24.021957,7.852929
430475,Rb4 Cu8 As4 S12,-1,No group,#17becf,7.1855083,-9.621691
189267,Cu2 H40 S4 N4 O28,20,All other groups,#BCBD22,-2.8964517,-55.71855
55323,Fe3.04 Cu0.96 S4 O44,14,All other groups,#BCBD22,38.367477,-37.594204
163307,K1.36 Nb8 Cu2 P4 S40,-1,No group,#17becf,-3.0451176,-14.054194
171297,K4 Cu2 H24 Se3.2876 S0.712 O28,15,All other groups,#BCBD22,5.959555,-63.053608
92290,Y8 Cu4 H20 S8 O48 F4,-1,No group,#17becf,12.6189165,-37.38034
2926,Cs4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,5.6834807,-56.520035
171320,K4 Cu2 H24 Se0.888 S3.1136 O28.0,15,All other groups,#BCBD22,4.546985,-60.55916
171313,K4 Cu2 H24 Se1.296 S2.7048 O28,15,All other groups,#BCBD22,4.732994,-63.683426
428913,Tb4 Cu2 H8 S4 O24,22,All other groups,#BCBD22,12.405128,-39.14167
171314,K4 Cu2 H24 Se1.26 S2.738 O28.0,15,All other groups,#BCBD22,3.53707,-60.602512
171295,K4 Cu2 H24 Se3.3236 S0.676 O28.0,15,All other groups,#BCBD22,6.2744784,-60.2605
162317,K4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,4.38224,-55.350407
171307,K4 Cu2 H24 Se1.236 S2.7656 O28,15,All other groups,#BCBD22,5.031905,-60.543175
171308,K4 Cu2 H24 Se1.256 S2.746 O28,15,All other groups,#BCBD22,3.8693633,-62.12877
23098,K8 Cu4 S8 O40,-1,No group,#17becf,20.863283,-31.581821
171287,K4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,4.477085,-56.063206
171322,K4 Cu2 H24 Se0.86 S3.1412 O28,15,All other groups,#BCBD22,4.152556,-60.386135
171316,K4 Cu2 H24 Se0.856 S3.1428 O28,15,All other groups,#BCBD22,4.0321345,-63.36983
238191,Rb8 Cu8 Sb8 S20,-1,No group,#17becf,6.840463,-11.856242
55326,Zn1.2968 Fe2.4236 Cu0.2796 S4 O44,14,All other groups,#BCBD22,39.369568,-38.356606
240926,Na4 Cu2 H24 S4 O28,16,All other groups,#BCBD22,4.7071548,-54.909847
262251,Cu4 As28 P4 S28 Cl4,19,All other groups,#BCBD22,36.042667,-7.4821544
171294,K4 Cu2 H24 Se3.364 S0.636 O28,15,All other groups,#BCBD22,7.0828204,-60.73738
55330,Zn2.464 Fe1.3768 Cu0.1588 S4 O44,14,All other groups,#BCBD22,39.61933,-37.73835
411792,Cu2 As4 S8 O16 F24,-1,No group,#17becf,39.606674,-33.963017
5024,Mg0.28 Mn0.04 Zn0.24 Cu3.44 S4 O44,14,All other groups,#BCBD22,39.72579,-37.01803
157069,Cu12 S2 O30,-1,No group,#17becf,36.877224,-26.927221
428914,Dy4 Cu2 S4 O24,-1,No group,#17becf,32.83837,-33.823673
1915,Na4 Cu2 H8 S4 O20,18,All other groups,#BCBD22,9.025466,-41.852028
195339,Tl4 Cu4 P4 S12,-1,No group,#17becf,34.921997,-3.9595392
171300,K4 Cu2 H24 Se2.9672 S1.032 O28,15,All other groups,#BCBD22,4.8209424,-62.630245
172625,Mg2.732 Cu1.268 S4 O44,14,All other groups,#BCBD22,37.682022,-38.43455
110078,Cu6 Mo2 C24 S28 N6,-1,No group,#17becf,29.181133,-23.241306
74894,Cu4 Pt8 S16,23,Spinel,#2ca02c,-36.93175,34.982197
54874,Cu2 H40 C8 S4 N16 O16,-1,No group,#17becf,0.6180912,-53.997288
244719,K4 Cu4 Ge2 S8,-1,No group,#17becf,1.0139228,-20.320955
55312,Cu8 Ag1.416 Bi12.584 S24,5,All other groups,#BCBD22,44.935013,8.082971
86470,Cu5.852 Bi9.588 S18,-1,No group,#17becf,41.074257,5.155026
192295,Cu3.12 Ag1.24 Bi10.76 S18,-1,No group,#17becf,48.54588,5.2752886
38364,Cu10.44 Bi12.57 S24,-1,No group,#17becf,40.358673,5.4638433
15230,Cu2 Bi10 S16,-1,No group,#17becf,49.68468,6.0844116
69455,Cu2.16 Ag0.4 Bi12 S18,24,All other groups,#BCBD22,50.987892,4.509945
1842,Cu8 Bi10 S20,5,All other groups,#BCBD22,44.689743,8.383731
195764,Sr4 U2 Cu4 S10,25,All other groups,#BCBD22,-15.790639,-15.710846
409646,Rb4 Cu12 S8,-1,No group,#17becf,4.689512,-15.199203
170686,Cu13.084 Bi8 S13.52 I10.5,-1,No group,#17becf,37.51235,7.777234
23663,Cu6.416 Bi9.584 S18,-1,No group,#17becf,42.826054,6.41788
93685,Rb4 Gd8 Cu8 S18,26,All other groups,#BCBD22,-10.313776,-16.199003
55313,Cu15.6 Ag0.84 Bi23.16 S44,5,All other groups,#BCBD22,42.638695,7.441698
425437,Ba4 Th2 Cu4 S10,25,All other groups,#BCBD22,-15.809649,-15.577414
30777,Cu4 Bi16 Pb6 Se5.6 S26.4,27,All other groups,#BCBD22,46.552204,5.1323647
65436,Cu4 Ag2 S4 O20,-1,No group,#17becf,38.56646,-31.557613
420913,Cu8.874 Bi9.0796 S16 Cl8,-1,No group,#17becf,39.99248,7.233284
26317,K2 Cu4 S4 O20,28,All other groups,#BCBD22,27.7288,-33.33221
174620,V4.62 Cu1.38 S8,-1,No group,#17becf,-14.607545,-9.589625
79536,Na4 Zr2 Cu4 S8,-1,No group,#17becf,-1.520235,-19.81314
61513,Cu8 S4 O20,-1,No group,#17becf,37.365795,-25.905737
36351,Cu4 Ag4 C12 S12 N28,13,All other groups,#BCBD22,31.974827,-21.736202
64709,Cu8 Bi14 S24,5,All other groups,#BCBD22,45.055035,7.973916
97562,K4 Dy8 Cu8 S18,26,All other groups,#BCBD22,-10.334595,-16.045916
169962,Cu1.12 Ag2.1 Bi14.38 Pb0.9 S22,24,All other groups,#BCBD22,51.370667,4.2697835
100001,K4 Cu12 S8,-1,No group,#17becf,4.6806836,-15.24071
259056,Cu8 Ag4 Bi20 Pb4 S38,5,All other groups,#BCBD22,46.845695,6.875428
73265,Na2 Cu4 H6 S4 O20,29,All other groups,#BCBD22,12.4256935,-36.106503
76615,Zn1 Cu3 As2.468 Pb2 S1.532 O20,-1,No group,#17becf,38.753548,-31.526525
160421,Cu8 Ag2.08 Bi17.92 Pb4 S36,5,All other groups,#BCBD22,47.439632,6.8176675
185802,Cu8 Ag3.242 Bi18.758 Pb4 S38,5,All other groups,#BCBD22,47.386353,6.8413014
237306,Ba8 Na4 Cu12 S20,-1,No group,#17becf,-10.347815,-12.756821
418464,Ba4 U2 Cu4 S10,25,All other groups,#BCBD22,-15.83513,-15.632552
41752,Cu1 Ag4.6 Bi13.6 Pb0.8 S24,5,All other groups,#BCBD22,48.03856,7.4369435
62418,Rb2 Cu4 S4 O20,28,All other groups,#BCBD22,27.795721,-33.306328
10054,K6 Cu16 S12,-1,No group,#17becf,4.311724,-16.004139
97563,K4 Ho8 Cu8 S18,26,All other groups,#BCBD22,-10.345801,-15.995798
10055,Rb6 Cu16 S12,-1,No group,#17becf,4.325266,-15.976837
55314,Cu17 Bi23.5 S44,-1,No group,#17becf,41.652786,7.128229
23290,Tl4 Cu12 S8,-1,No group,#17becf,11.009357,18.69564
411110,Cu4 Bi16 Pb12 S38,27,All other groups,#BCBD22,46.54794,5.1512094
65784,K2 Cu4 H6 S4 O20,29,All other groups,#BCBD22,12.430092,-36.03808
28439,Cu2 C4 S4 N12,13,All other groups,#BCBD22,32.878433,-22.039759
420914,Cu8.948 Bi9.0624 S16 Cl8,-1,No group,#17becf,40.287434,7.355898
79141,Cu4 Si4 Pb14 S8 O52,14,All other groups,#BCBD22,41.86285,-30.863792
421681,Cu2.96 Bi5.2912 S6.844 Br5.156,-1,No group,#17becf,46.027462,9.228531
628460,Na8 Cu16 S12,30,All other groups,#BCBD22,3.7221434,-21.05298
69454,Cu0.96 Ag1.2 Bi12 S18,24,All other groups,#BCBD22,51.055775,4.363204
160420,Cu2.124 Ag1.36 Bi11.2 S18,24,All other groups,#BCBD22,50.600857,4.081096
55302,Fe1.16 Cu6.84 Bi10 S20,5,All other groups,#BCBD22,42.546005,7.5271087
86469,Cu3.536 Bi9.14 S16,-1,No group,#17becf,48.046432,2.8269215
62414,Na2 Cu4 S4 O20,28,All other groups,#BCBD22,27.653988,-33.39614
100829,Na8 Cu16 S12,30,All other groups,#BCBD22,3.6419482,-21.183315
24462,Cu16 Bi20 Pb4 S44,5,All other groups,#BCBD22,44.902508,8.045203
